idx	h	E	options
1905	136	0	0:136,
1907	137	0	0:108,
1908	137	0	0:116,
1909	137	0	0:124,
1910	137	0	0:96,
1911	137	0	0:124,
1912	137	0	0:132,
1914	138	0	0:116,
1915	138	0	0:125,
1916	138	0	0:128,
1917	138	0	0:116,
1918	138	0	0:132,
1921	139	0	0:120,
1922	139	0	0:128,
1923	139	0	0:136,
1924	139	0	0:108,
1925	139	0	0:136,
1927	140	0	0:132,
1929	141	0	0:112,
1930	141	0	0:120,
1931	141	0	0:120,
1932	141	0	0:117,
1933	141	0	0:120,
1934	141	0	0:136,
1937	142	0	0:120,
1939	142	0	0:128,
1940	142	0	0:137,
1942	142	0	0:136,
1946	142	0	0:112,
1947	142	0	0:123,
1948	142	0	0:124,
1949	142	0	0:113,
1951	142	0	0:136,
1954	142	0	0:129,
1960	142	0	0:140,
1964	143	0	0:116,
1965	143	0	0:124,
1966	143	0	0:132,
1967	143	0	0:104,
1968	143	0	0:132,
1969	143	0	0:140,
1972	145	0	0:112,
1974	145	0	0:120,
1975	145	0	0:128,
1977	145	0	0:128,
1978	145	0	0:136,
1979	145	0	0:144,
1980	145	1	1:143,
1981	145	0	0:108,
1982	145	0	0:116,
1983	145	0	0:116,
1984	145	0	0:108,
1986	145	0	0:120,
1987	145	0	0:128,
1988	145	0	0:136,
1989	145	0	0:116,
1990	145	0	0:136,
1992	145	0	0:136,
1993	145	0	0:144,
1995	145	0	0:132,
1996	145	0	0:144,
1998	146	0	0:132,
1999	147	1	1:147,
2000	147	0	0:112,
2001	147	0	0:120,
2002	147	0	0:128,
2003	147	0	0:102,
2004	147	0	0:128,
2005	147	0	0:136,
2007	148	0	0:128,
2008	148	0	0:136,
2009	148	0	0:144,
2010	148	0	0:128,
2011	148	0	0:144,
2014	149	0	0:116,
2015	149	0	0:124,
2016	149	0	0:132,
2017	149	0	0:112,
2018	149	0	0:132,
2019	149	0	0:140,
2020	150	0	0:128,
2022	151	0	0:136,
2023	151	0	0:144,
2025	151	0	0:124,
2026	151	0	0:144,
2029	152	0	0:124,
2030	152	0	0:133,
2031	152	0	0:140,
2032	152	0	0:124,
2033	152	0	0:140,
2034	152	0	0:149,
