round,archive,bytes,sha256
1,B699-ProE-i3-even-square-two-support-20260918.zip,52083,d708eae158271517bd575b10aa9181abe13079a6df867cdaad4c669f5e6daa99
2,B699-ProE-i3-cross-recovery-dyadic-evidence-20260918.zip,46897,6d2f6543348294bf52ed9a1f42df95aa5b1863bd2b4983f290bb70e248e9aee4
3,B699-ProE-i3-cross-content-C2-audit-evidence-20260918.zip,58478,340c8ab7fe302d5fec9f4105fbdff3b4954909609953a04094cbede51a0cae10
4,B699-ProE-i3-cross-head-quadratic-evidence-20260918.zip,59310,4a698616e2b48e19e49e4d3db8c84ae57456a6ff9ddcc437dc6aa13720f79113
5,B699-ProE-i3-four-template-source-block-closure-evidence-20260918.zip,66860,d19e92665c3e6be98c41cf278d66b3965861a7bf7a51f57b7b5df6f839ce7e3a
6,B699-ProE-i3-next-width-b3-closure-evidence-20260918.zip,58978,aee18337457c0ab5ac8917a051526ec6070efb8251dc459ed4fd4ba62464906c
7,B699-ProE-i3-critical-endpoint-character-carry-evidence-20260918.zip,65250,785397230701a03d21fdb67927af528456671716468380f1452b869f586916d1
8,B699-ProE-i3-isolated3-and-quadratic-carry-evidence-20260918.zip,67575,6de3798f864636084416fdf3b499bfc9a604d7dc9d10e63eb00ded20c6147eba
