profiles 37 seconds 0.8610209830000031
[2, 2, 2, 3, 3, 3] [0, 0, 0, 0, 0, 0] [(22, (5, 5, 5, 3, 3, 3), 0), (23, (6, 5, 5, 3, 3, 3), 0)]
[2, 2, 3, 2, 3, 2] [0, 0, 0, 0, 0, 0] [(23, (5, 5, 3, 5, 3, 5), 0), (18, (4, 4, 3, 3, 3, 3), 0)]
[2, 2, 3, 2, 3, 3] [0, 0, 0, 0, 0, 0] [(21, (5, 5, 3, 4, 3, 3), 2), (22, (6, 5, 3, 4, 3, 3), 2)]
[2, 2, 3, 2, 3, 3] [0, 0, 0, 0, 0, 1] [(21, (5, 5, 3, 4, 3, 3), 0), (22, (6, 5, 3, 4, 3, 3), 0)]
[2, 2, 3, 3, 2, 2] [0, 0, 0, 0, 0, 0] [(23, (5, 5, 3, 3, 5, 5), 0), (18, (4, 4, 3, 3, 3, 3), 0)]
[2, 2, 3, 3, 2, 3] [0, 0, 0, 0, 0, 0] [(21, (5, 5, 3, 3, 4, 3), 2), (22, (6, 5, 3, 3, 4, 3), 2)]
[2, 2, 3, 3, 2, 3] [0, 0, 0, 0, 0, 1] [(21, (5, 5, 3, 3, 4, 3), 0), (22, (6, 5, 3, 3, 4, 3), 0)]
[2, 2, 3, 3, 2, 3] [0, 0, 0, 1, 0, 0] [(21, (5, 5, 3, 3, 4, 3), 0), (22, (6, 5, 3, 3, 4, 3), 0)]
[2, 2, 3, 3, 3, 2] [0, 0, 0, 0, 0, 0] [(20, (5, 4, 3, 3, 3, 4), 3), (19, (4, 4, 3, 3, 3, 4), 4)]
[2, 2, 3, 3, 3, 2] [0, 0, 0, 1, 0, 0] [(20, (5, 4, 3, 3, 3, 4), 1), (21, (5, 5, 3, 4, 3, 3), 2)]
[2, 2, 3, 3, 3, 3] [0, 0, 0, 0, 0, 0] [(14, (4, 3, 2, 2, 2, 2), 4), (14, (3, 3, 3, 2, 2, 2), 5)]
[2, 2, 3, 3, 3, 3] [0, 0, 0, 0, 0, 1] [(14, (4, 3, 2, 2, 2, 2), 3), (14, (3, 3, 3, 2, 2, 2), 4)]
[2, 2, 3, 3, 3, 3] [0, 0, 0, 1, 0, 0] [(14, (4, 3, 2, 2, 2, 2), 3), (14, (3, 3, 3, 2, 2, 2), 4)]
[2, 2, 3, 3, 3, 3] [0, 0, 0, 1, 0, 1] [(14, (4, 3, 2, 2, 2, 2), 2), (14, (3, 3, 3, 2, 2, 2), 3)]
[2, 2, 3, 3, 3, 3] [0, 1, 0, 0, 0, 0] [(22, (5, 7, 3, 3, 3, 3), 2), (23, (6, 7, 3, 3, 3, 3), 2)]
[2, 3, 2, 3, 3, 2] [0, 1, 0, 0, 0, 0] [(21, (5, 4, 4, 3, 3, 4), 0), (22, (6, 4, 4, 3, 3, 4), 0)]
