{'i': 27, 'H': '39614081257132168796771975168', 'ell': 2, 'M': 452, 'start': 702, 'raw_intervals': 118728, 'rows': 40072, 'next_H': 104333339, 'wall_seconds': 0.2118186259999959}
{'i': 27, 'H': '104333339', 'ell': 2, 'M': 63, 'start': 702, 'raw_intervals': 3335, 'rows': 5108, 'next_H': 688154, 'wall_seconds': 0.0033818500000108997}
{'i': 27, 'H': '688154', 'ell': 2, 'M': 51, 'start': 702, 'raw_intervals': 1564, 'rows': 3815, 'next_H': 688154, 'wall_seconds': 0.001652446999997892}
{'i': 30, 'H': '1298074214633706907132624082305024', 'ell': 2, 'M': 535, 'start': 870, 'raw_intervals': 140089, 'rows': 46593, 'next_H': 104333342, 'wall_seconds': 0.20929742699999565}
{'i': 30, 'H': '104333342', 'ell': 2, 'M': 63, 'start': 870, 'raw_intervals': 2775, 'rows': 4718, 'next_H': 688157, 'wall_seconds': 0.003085874999982252}
{'i': 30, 'H': '688157', 'ell': 2, 'M': 53, 'start': 870, 'raw_intervals': 1322, 'rows': 3732, 'next_H': 688157, 'wall_seconds': 0.00277580799999555}
{'i': 33, 'H': '42535295865117307932921825928971026432', 'ell': 2, 'M': 618, 'start': 1056, 'raw_intervals': 241417, 'rows': 72954, 'next_H': 104333345, 'wall_seconds': 0.337567837999984}
{'i': 33, 'H': '104333345', 'ell': 2, 'M': 64, 'start': 1056, 'raw_intervals': 3612, 'rows': 6948, 'next_H': 439009, 'wall_seconds': 0.004165208999978631}
{'i': 33, 'H': '439009', 'ell': 2, 'M': 54, 'start': 1056, 'raw_intervals': 1573, 'rows': 5637, 'next_H': 327713, 'wall_seconds': 0.0019852080000077876}
{'i': 33, 'H': '327713', 'ell': 2, 'M': 53, 'start': 1056, 'raw_intervals': 1461, 'rows': 5551, 'next_H': 327713, 'wall_seconds': 0.0017065689999924416}
