C3 C4 C5 C6 C7 C8 K4 K6 K8 S5 E
2 2 4 4 6 4 0 2 0 1 108
2 2 4 4 6 4 0 4 0 1 108
2 2 4 4 6 4 0 2 2 1 108
2 2 4 4 6 4 0 2 0 2 106
2 2 4 4 6 4 0 4 0 2 104
2 2 4 4 6 4 0 2 2 2 104
2 2 4 4 6 4 0 4 2 2 104
2 2 4 4 6 4 0 2 4 2 104
