C3 C4 C5 C6 C7 C8 K4 K6 K8 S5 E
2 0 6 5 6 3 0 3 1 2 107
2 0 6 5 6 3 0 5 1 2 107
2 0 6 5 6 3 0 3 3 2 107
2 0 6 5 6 3 0 5 3 2 111
2 0 6 5 6 2 0 3 0 3 111
2 0 6 5 6 2 0 5 0 3 108
2 0 6 5 6 3 0 3 1 3 101
2 0 6 4 6 3 0 4 1 3 108
2 0 6 5 6 3 0 5 1 3 100
2 0 6 5 6 2 0 3 2 3 108
2 0 6 5 6 2 0 5 2 3 108
2 0 6 5 6 3 0 3 3 3 100
2 0 6 4 6 3 0 4 3 3 108
2 0 6 5 6 3 0 5 3 3 101
