30	669
672	715
725	748
752	765
768	769
775	781
783	797
800	813
816	823
825	829
832	861
864	877
880	909
912	913
918	941
950	958
960	963
968	988
992	993
999	1012
1024	1039
1053	1066
1078	1102
1107	1113
1120	1120
1125	1140
1152	1165
1176	1197
1200	1201
1210	1213
1215	1238
1248	1261
1274	1288
1300	1309
1312	1313
1323	1338
1344	1344
1350	1363
1375	1389
1404	1417
1421	1421
1425	1438
1440	1444
1450	1465
1470	1488
1504	1517
1519	1534
1536	1552
1568	1586
1600	1613
1620	1638
1650	1660
1666	1687
1694	1713
1725	1741
1755	1773
1775	1777
1782	1788
1792	1795
1800	1805
1809	1838
1859	1876
1888	1888
1890	1901
1917	1930
1944	1949
1952	1957
1960	1965
1971	1973
1984	1984
2000	2013
2016	2022
2025	2038
2052	2070
2107	2120
2125	2125
2156	2157
2178	2191
2197	2200
2205	2218
2250	2263
2272	2281
2303	2316
2349	2349
2352	2362
2368	2381
2401	2413
2430	2443
2499	2513
2535	2554
2560	2561
2592	2605
2625	2637
2656	2659
2662	2669
2673	2675
2695	2701
2704	2708
2750	2765
2793	2796
2842	2848
2875	2888
2891	2893
2904	2904
2916	2917
2944	2953
2997	3013
3038	3038
3042	3051
3078	3085
3087	3091
3136	3149
3159	3159
3211	3213
3240	3247
3250	3253
3267	3277
3328	3341
3380	3405
3483	3492
3509	3513
3520	3522
3528	3533
3577	3577
3584	3590
3626	3639
3648	3658
3718	3737
3751	3763
3776	3786
3872	3885
3887	3900
3969	3982
4000	4006
4056	4063
4067	4069
4116	4129
4131	4138
4165	4173
4214	4238
4263	4263
4293	4301
4356	4369
4374	4387
4416	4423
4459	4468
4480	4490
4508	4513
4544	4549
4557	4557
4563	4570
4606	4621
4625	4630
4704	4711
4732	4732
4736	4745
4753	4763
4802	4813
4851	4853
4860	4873
4875	4877
4901	4913
4941	4941
4949	4954
4961	4962
4998	5011
5082	5083
5125	5133
5184	5197
5248	5261
5324	5325
5376	5388
5440	5440
5445	5453
5500	5501
5504	5517
5568	5581
5589	5590
5632	5638
5696	5700
5750	5764
5831	5844
5888	5888
5915	5926
6000	6007
6080	6093
6156	6157
6174	6184
6250	6250
6253	6263
6400	6413
6422	6426
6528	6530
6534	6541
6592	6604
6655	6668
6723	6733
6760	6763
6784	6789
6860	6861
6885	6888
6897	6898
6976	6979
7047	7053
7104	7111
7128	7141
7209	7216
7260	7263
7267	7273
7296	7303
7371	7373
7375	7388
7436	7437
7500	7513
7546	7546
7552	7559
7614	7618
7623	7636
7750	7757
7776	7787
7865	7870
7875	7878
7938	7951
8107	8120
8125	8125
8192	8194
8232	8241
8262	8263
8349	8356
8450	8461
8505	8513
8576	8589
8591	8599
8625	8632
8712	8717
8750	8761
8832	8845
8918	8923
8957	8970
9000	9004
9075	9085
9088	9088
9126	9138
9261	9263
9317	9328
9472	9485
9559	9571
9604	9613
9633	9646
9728	9733
9801	9814
9882	9888
9971	9976
9984	9984
10044	10056
10125	10138
10250	10253
10287	10300
10368	10381
10500	10509
10530	10540
10624	10638
10648	10660
10752	10763
10880	10888
10890	10893
10985	10989
11008	11021
11132	11145
11253	11266
11323	11332
11375	11387
11495	11508
11625	11629
11661	11675
11750	11750
11907	11917
12000	12013
12160	12163
12168	12173
12342	12355
12506	12513
12636	12638
12675	12685
12879	12888
13013	13013
13068	13069
13125	13135
13184	13197
13312	13323
13375	13388
13440	13444
13696	13702
13858	13864
14036	14040
14208	14209
14337	14349
14375	14378
14406	14412
14592	14593
14750	14763
14875	14888
15004	15013
15104	15105
15125	15138
15250	15259
15367	15373
15375	15388
15488	15501
15552	15561
15616	15622
15625	15629
15730	15730
15750	15757
15875	15888
16000	16013
16125	16138
16224	16227
16256	16263
16384	16388
16393	16397
16464	16469
16512	16513
16524	16525
16768	16780
16819	16820
16900	16909
17010	17013
17069	17074
17152	17163
17250	17251
17253	17263
17408	17420
17496	17509
17545	17549
17666	17677
17745	17758
17792	17800
17914	17927
18179	18189
18252	18263
18432	18434
18513	18513
18522	18526
18634	18638
18755	18768
18875	18888
18954	18957
19000	19010
19125	19131
19200	19213
19250	19252
19440	19448
19968	19978
20237	20237
20250	20250
20618	20621
20625	20631
21125	21133
21250	21261
21296	21307
21632	21640
21875	21883
22308	22308
22638	22640
22646	22651
22984	22994
23324	23337
