PROGRESS [[0, 4]] {'nodes': 5410, 'options': 206049, 'line_reject': 111903, 'rank25_reject': 88737, 'exact_inconsistent': 0, 'forced_line': 0, 'leaves': 0} [1, 1, 31, 645, 4731, 1, 0] 2.14
PROGRESS [[1, 3]] {'nodes': 40396, 'options': 2110479, 'line_reject': 1115186, 'rank25_reject': 954898, 'exact_inconsistent': 5, 'forced_line': 0, 'leaves': 0} [1, 2, 62, 1392, 23162, 15772, 5] 9.06
PROGRESS [[2, 2]] {'nodes': 130894, 'options': 7317370, 'line_reject': 3827225, 'rank25_reject': 3359252, 'exact_inconsistent': 1124, 'forced_line': 0, 'leaves': 0} [1, 3, 93, 2169, 47202, 80302, 1124] 29.65
PROGRESS [[3, 1]] {'nodes': 166776, 'options': 9264728, 'line_reject': 4843333, 'rank25_reject': 4254620, 'exact_inconsistent': 1129, 'forced_line': 0, 'leaves': 0} [1, 4, 124, 2916, 66211, 96391, 1129] 36.68
PROGRESS [[4, 0]] {'nodes': 172847, 'options': 9490133, 'line_reject': 4961741, 'rank25_reject': 4355546, 'exact_inconsistent': 1129, 'forced_line': 0, 'leaves': 0} [1, 5, 155, 3561, 71604, 96392, 1129] 37.47
PROGRESS [[0, 3]] {'nodes': 184776, 'options': 10013974, 'line_reject': 5223053, 'rank25_reject': 4606146, 'exact_inconsistent': 1129, 'forced_line': 0, 'leaves': 0} [1, 6, 180, 4036, 80577, 98847, 1129] 39.39
PROGRESS [[1, 2]] {'nodes': 246044, 'options': 13541416, 'line_reject': 6999903, 'rank25_reject': 6295470, 'exact_inconsistent': 3130, 'forced_line': 0, 'leaves': 0} [1, 7, 205, 4545, 95022, 143134, 3130] 56.3
PROGRESS [[2, 1]] {'nodes': 307534, 'options': 17079993, 'line_reject': 8774206, 'rank25_reject': 7998254, 'exact_inconsistent': 5078, 'forced_line': 0, 'leaves': 0} [1, 8, 230, 5054, 109628, 187535, 5078] 73.27
PROGRESS [[3, 0]] {'nodes': 319928, 'options': 17618347, 'line_reject': 9038142, 'rank25_reject': 8260278, 'exact_inconsistent': 5078, 'forced_line': 0, 'leaves': 0} [1, 9, 255, 5529, 119051, 190005, 5078] 75.33
PROGRESS [[0, 2]] {'nodes': 331641, 'options': 18233912, 'line_reject': 9327925, 'rank25_reject': 8574347, 'exact_inconsistent': 5157, 'forced_line': 0, 'leaves': 0} [1, 10, 270, 5744, 123571, 196888, 5157] 77.81
