case,size,det_mod_65521,full_augmented
0,65,4775,1
1,65,50634,1
2,65,38020,1
3,65,2770,1
4,65,51730,1
5,65,44273,1
6,65,42082,1
7,65,53104,1
8,65,26384,1
9,65,32712,1
10,65,51573,1
11,65,15969,1
12,65,30417,1
13,65,23353,1
14,65,21583,1
15,65,41389,1
16,65,18085,1
17,65,5907,1
18,65,55707,1
19,65,35392,1
20,65,15168,1
21,65,54199,1
22,65,27901,1
23,65,12178,1
24,65,42098,1
25,65,1804,1
26,65,39417,1
27,65,51520,1
28,65,8581,1
29,65,22563,1
30,65,8680,1
31,65,55774,1
32,65,9277,1
33,65,54853,1
34,65,51871,1
35,65,27960,1
36,65,54519,1
37,65,56443,1
38,65,46073,1
39,65,50390,1
40,65,35715,1
41,65,23022,1
42,65,25393,1
43,65,58818,1
44,65,38312,1
45,65,27927,1
46,65,4763,1
47,65,16562,1
48,65,30899,1
49,65,16494,1
50,65,1815,1
51,65,29828,1
52,65,42804,1
53,65,58299,1
54,65,38231,1
55,65,64227,1
56,65,52174,1
57,65,64984,1
58,65,34200,1
59,65,45691,1
60,65,42183,1
61,65,34890,1
62,65,45160,1
63,65,24824,1
64,65,53985,1
65,65,19366,1
66,65,10625,1
67,65,44288,1
68,65,13524,1
69,65,14274,1
70,65,14604,1
71,65,15650,1
72,65,15961,1
73,65,53476,1
74,65,43741,1
75,65,36406,1
76,65,54900,1
77,65,26043,1
78,65,8398,1
79,65,55822,1
80,65,18908,1
81,65,42778,1
82,65,22862,1
83,65,61969,1
84,65,22874,1
85,65,261,1
86,65,46040,1
87,65,60352,1
88,65,1212,1
89,65,35733,1
90,65,56178,1
91,65,32933,1
92,65,62174,1
93,65,61607,1
94,65,3755,1
95,65,25494,1
96,65,23513,1
97,65,34368,1
98,65,49706,1
99,65,41019,1
100,65,18722,1
101,65,31761,1
102,65,17821,1
103,65,61447,1
104,65,28971,1
105,65,24545,1
106,65,63377,1
107,65,45306,1
108,65,2800,1
109,65,27252,1
110,65,32432,1
111,65,36353,1
112,65,7969,1
113,65,63410,1
114,65,48612,1
115,65,33783,1
116,65,58950,1
117,65,3720,1
118,65,37051,1
119,65,46666,1
120,65,5471,1
121,65,20333,1
122,65,20239,1
123,65,61420,1
124,65,18237,1
125,65,29282,1
126,65,14392,1
127,65,49017,1
128,65,835,1
129,65,28375,1
130,65,52058,1
131,65,29402,1
132,65,49334,1
133,65,33538,1
134,65,44376,1
135,65,65298,1
136,65,31834,1
137,65,48517,1
138,65,32814,1
139,65,6439,1
140,65,26749,1
141,65,63754,1
142,65,2968,1
143,65,26752,1
144,65,61624,1
145,65,3817,1
146,65,27781,1
147,65,62030,1
148,65,2061,1
149,65,49776,1
150,65,50314,1
