case,size,det_mod_65521,full_augmented
0,65,62874,1
1,65,60170,1
2,65,27703,1
3,65,33125,1
4,65,8298,1
5,65,16057,1
6,65,13601,1
7,65,57993,1
8,65,8996,1
9,65,8741,1
10,65,4332,1
11,65,47052,1
12,65,22161,1
13,65,30521,1
14,65,31050,1
15,65,34474,1
16,65,42957,1
17,65,44834,1
18,65,39836,1
19,65,2421,1
20,65,23318,1
21,65,33581,1
22,65,53773,1
23,65,5168,1
24,65,45447,1
25,65,62048,1
26,65,51672,1
27,65,6719,1
28,65,17360,1
29,65,55188,1
30,65,1994,1
31,65,60553,1
32,65,50529,1
33,65,33733,1
34,65,35242,1
35,65,22680,1
36,65,19687,1
37,65,57656,1
38,65,24640,1
39,65,11004,1
40,65,11004,1
41,65,11004,1
42,65,11004,1
43,65,60080,1
44,65,60080,1
45,65,60080,1
46,65,21454,1
47,65,37139,1
48,65,39664,1
49,65,51447,1
50,65,9063,1
51,65,44315,1
52,65,11844,1
53,65,35392,1
54,65,35392,1
55,65,35392,1
56,65,35392,1
57,65,36954,1
58,65,43265,1
59,65,43265,1
60,65,43265,1
61,65,43265,1
62,65,52715,1
63,65,11268,1
64,65,64030,1
65,65,46563,1
66,65,11109,1
67,65,58042,1
68,65,28881,1
69,65,38600,1
70,65,28327,1
71,65,11158,1
72,65,13225,1
73,65,11158,1
74,65,11158,1
75,65,11158,1
76,65,60142,1
77,65,54535,1
78,65,21944,1
79,65,47642,1
80,65,18539,1
81,65,38767,1
82,65,34571,1
83,65,35505,1
84,65,22640,1
85,65,9676,1
86,65,10565,1
87,65,24070,1
88,65,50253,1
89,65,5519,1
90,65,23962,1
91,65,27110,1
92,65,22237,1
93,65,61793,1
94,65,16024,1
95,65,1549,1
96,65,11253,1
97,65,27055,1
98,65,59341,1
99,65,29585,1
100,65,22964,1
101,65,22964,1
102,65,22964,1
103,65,35867,1
104,65,26692,1
105,65,59157,1
106,65,16778,1
107,65,28315,1
108,65,58969,1
109,65,34554,1
110,65,57682,1
111,65,34435,1
112,65,38446,1
113,65,26121,1
114,65,48604,1
115,65,5099,1
116,65,25303,1
117,65,37769,1
118,65,16635,1
119,65,49298,1
120,65,9399,1
121,65,2990,1
122,65,28237,1
123,65,16562,1
124,65,30247,1
125,65,30158,1
126,65,52859,1
127,65,25990,1
128,65,26238,1
129,65,7805,1
130,65,740,1
131,65,45717,1
132,65,45717,1
133,65,4664,1
134,65,10570,1
135,65,64111,1
136,65,47990,1
137,65,40533,1
138,65,43626,1
139,65,43193,1
140,65,3955,1
141,65,28515,1
142,65,9569,1
143,65,25031,1
144,65,37437,1
145,65,51481,1
146,65,53293,1
147,65,47725,1
148,65,25990,1
149,65,46097,1
150,65,35677,1
151,65,29156,1
152,65,32047,1
153,65,20551,1
154,65,62342,1
155,65,22671,1
156,65,26709,1
157,65,43980,1
158,65,63508,1
159,65,19195,1
160,65,63849,1
161,65,49143,1
162,65,21879,1
163,65,3860,1
164,65,24625,1
165,65,38307,1
166,65,15322,1
167,65,23647,1
168,65,48202,1
169,65,55842,1
170,65,14043,1
171,65,448,1
172,65,42409,1
173,65,28096,1
174,65,62825,1
175,65,21411,1
176,65,38719,1
177,65,2808,1
178,65,41992,1
179,65,17131,1
180,65,54188,1
181,65,30377,1
182,65,12620,1
183,65,10361,1
184,65,50116,1
185,65,25384,1
186,65,16428,1
187,65,59881,1
188,65,2051,1
189,65,48223,1
190,65,34161,1
191,65,51071,1
192,65,10109,1
193,65,34411,1
194,65,49097,1
195,65,49097,1
196,65,15365,1
197,65,51481,1
198,65,49258,1
199,65,9758,1
200,65,46304,1
201,65,46304,1
202,65,2935,1
203,65,16272,1
204,65,37460,1
205,65,30003,1
206,65,43693,1
