case,size,det_mod_65521,full_augmented
0,65,39946,1
1,65,50167,1
2,65,5055,1
3,65,58618,1
4,65,14934,1
5,65,45099,1
6,65,14375,1
7,65,9058,1
8,65,58749,1
9,65,42876,1
10,65,26757,1
11,65,10396,1
12,65,31676,1
13,65,42981,1
14,65,36455,1
15,65,46226,1
16,65,62587,1
17,65,32778,1
18,65,39990,1
19,65,5413,1
20,65,3215,1
21,65,24687,1
22,65,14394,1
23,65,55900,1
24,65,54006,1
25,65,32903,1
26,65,10046,1
27,65,33407,1
28,65,3617,1
29,65,42307,1
30,65,35093,1
31,65,24042,1
32,65,64143,1
33,65,64939,1
34,65,12309,1
35,65,44701,1
36,65,41370,1
37,65,54896,1
38,65,59679,1
39,65,39791,1
40,65,17694,1
41,65,57881,1
42,65,444,1
43,65,60587,1
44,65,35782,1
45,65,2966,1
46,65,58854,1
47,65,1140,1
48,65,37990,1
49,65,49627,1
50,65,47025,1
51,65,44811,1
52,65,25974,1
53,65,41809,1
54,65,36100,1
55,65,22640,1
56,65,41262,1
57,65,14999,1
58,65,55074,1
59,65,17284,1
60,65,49064,1
61,65,17396,1
62,65,59973,1
63,65,4529,1
64,65,54914,1
65,65,35901,1
66,65,25187,1
67,65,55902,1
68,65,43695,1
69,65,47052,1
70,65,41150,1
71,65,23266,1
72,65,57814,1
73,65,48023,1
74,65,49002,1
75,65,35736,1
76,65,41882,1
77,65,63424,1
78,65,8068,1
79,65,28579,1
80,65,52691,1
81,65,53720,1
82,65,35084,1
83,65,13108,1
84,65,5346,1
85,65,62368,1
86,65,62050,1
87,65,43207,1
88,65,37538,1
89,65,52309,1
90,65,12023,1
91,65,27842,1
92,65,61774,1
93,65,53621,1
94,65,32723,1
95,65,59385,1
96,65,13552,1
97,65,54128,1
98,65,62971,1
99,65,35556,1
100,65,32954,1
101,65,43244,1
102,65,2393,1
103,65,47726,1
104,65,17419,1
105,65,34218,1
106,65,13155,1
107,65,4341,1
108,65,12907,1
109,65,64314,1
110,65,56477,1
111,65,2961,1
112,65,63594,1
113,65,55033,1
114,65,32377,1
115,65,64541,1
116,65,36229,1
117,65,30924,1
118,65,30516,1
119,65,28987,1
120,65,59413,1
121,65,21248,1
122,65,52434,1
123,65,31250,1
124,65,54165,1
125,65,27849,1
126,65,50188,1
127,65,39039,1
128,65,40823,1
129,65,60455,1
130,65,22449,1
131,65,54160,1
132,65,13229,1
133,65,17594,1
134,65,59538,1
135,65,4824,1
136,65,10937,1
137,65,53523,1
138,65,7704,1
139,65,20230,1
140,65,13505,1
141,65,49926,1
142,65,16059,1
143,65,6436,1
144,65,22404,1
145,65,50420,1
146,65,37194,1
147,65,48700,1
148,65,26841,1
149,65,40623,1
150,65,60325,1
151,65,41318,1
152,65,39137,1
153,65,64228,1
154,65,32149,1
155,65,40607,1
156,65,23232,1
157,65,55104,1
158,65,32889,1
159,65,3836,1
160,65,11162,1
161,65,3068,1
162,65,34463,1
163,65,24011,1
164,65,59672,1
165,65,63838,1
166,65,55955,1
167,65,36608,1
168,65,34894,1
169,65,20217,1
170,65,46394,1
171,65,7837,1
172,65,9563,1
173,65,54947,1
174,65,32732,1
175,65,50739,1
176,65,6372,1
177,65,64510,1
178,65,54964,1
179,65,32729,1
180,65,40258,1
181,65,3501,1
182,65,45310,1
183,65,9663,1
184,65,26865,1
185,65,33458,1
186,65,42034,1
187,65,5796,1
188,65,4495,1
189,65,7023,1
190,65,40227,1
191,65,42056,1
192,65,54725,1
193,65,15854,1
194,65,16094,1
195,65,49014,1
196,65,47906,1
197,65,15123,1
198,65,25080,1
199,65,17446,1
200,65,44505,1
201,65,3428,1
202,65,10512,1
203,65,50309,1
204,65,42650,1
205,65,9113,1
206,65,14244,1
207,65,21528,1
208,65,2316,1
209,65,64635,1
210,65,7610,1
211,65,3850,1
212,65,2313,1
213,65,5481,1
214,65,9759,1
215,65,32201,1
216,65,4461,1
217,65,59759,1
218,65,1543,1
219,65,26927,1
