case,size,det_mod_65521,full_augmented
0,197,6348,1
1,197,21036,1
2,197,15503,1
3,197,20619,1
4,197,20315,1
5,197,32532,1
6,197,44217,1
7,197,594,1
8,197,38927,1
9,197,42721,1
10,197,17137,1
11,197,25866,1
12,197,63768,1
13,197,4448,1
14,197,42973,1
15,197,9479,1
16,197,24069,1
17,197,38806,1
18,197,33898,1
19,197,3278,1
20,197,44220,1
21,197,6562,1
22,197,54311,1
23,197,2497,1
24,197,39799,1
25,197,50471,1
26,197,39872,1
27,197,40513,1
28,197,59263,1
29,197,39212,1
30,197,49074,1
31,197,10571,1
32,197,58206,1
33,197,22708,1
34,197,19047,1
35,197,37252,1
36,197,11699,1
37,197,40082,1
38,197,65299,1
39,197,44055,1
40,197,53311,1
41,197,15680,1
42,197,5491,1
43,197,23729,1
44,197,34827,1
45,197,42482,1
46,197,44057,1
47,197,35262,1
48,197,11949,1
49,197,49374,1
50,197,22352,1
51,197,64353,1
52,197,23782,1
53,197,37129,1
54,197,25599,1
55,197,56155,1
56,197,62058,1
57,197,56587,1
58,197,255,1
59,197,19827,1
60,197,12996,1
61,197,5945,1
62,197,48082,1
63,197,34197,1
64,197,25875,1
65,197,38027,1
66,197,43772,1
67,197,27959,1
68,197,3956,1
69,197,17535,1
70,197,35407,1
71,197,33989,1
72,197,63017,1
73,197,11783,1
74,197,21546,1
75,197,47157,1
76,197,15577,1
77,197,39618,1
78,197,47572,1
79,197,50121,1
80,197,18475,1
81,197,21385,1
82,197,25959,1
83,197,31368,1
84,197,47106,1
85,197,31680,1
86,197,3473,1
87,197,51878,1
88,197,46186,1
89,197,58858,1
90,197,40616,1
91,197,15341,1
92,197,34177,1
93,197,65341,1
94,197,27625,1
95,197,10331,1
96,197,45617,1
97,197,55947,1
98,197,16158,1
99,197,10670,1
100,197,58999,1
101,197,15812,1
102,197,10966,1
103,197,2125,1
104,197,44858,1
105,197,8880,1
106,197,5434,1
107,197,4766,1
108,197,51738,1
109,197,17950,1
110,197,38501,1
111,197,25025,1
112,197,22937,1
113,197,2312,1
114,197,59019,1
115,197,21403,1
116,197,65261,1
117,197,63854,1
118,197,36900,1
119,197,33625,1
120,197,25778,1
121,197,17183,1
122,197,25527,1
123,197,29684,1
