case,size,det_mod_65521,full_augmented
0,65,36758,1
1,65,22334,1
2,65,17453,1
3,65,15848,1
4,65,52294,1
5,65,57951,1
6,65,3733,1
7,65,31265,1
8,65,33354,1
9,65,59764,1
10,65,9013,1
11,65,12604,1
12,65,46704,1
13,65,12780,1
14,65,36346,1
15,65,52399,1
16,65,27438,1
17,65,52642,1
18,65,42246,1
19,65,46143,1
20,65,33058,1
21,65,42674,1
22,65,55883,1
23,65,57881,1
24,65,49039,1
25,65,47875,1
26,65,11943,1
27,65,37763,1
28,65,13393,1
29,65,37537,1
30,65,678,1
31,65,59568,1
32,65,55411,1
33,65,44537,1
34,65,6780,1
35,65,12116,1
36,65,59872,1
37,65,1384,1
38,65,46434,1
39,65,45462,1
40,65,47490,1
41,65,63104,1
42,65,24190,1
43,65,5266,1
44,65,39367,1
45,65,43688,1
46,65,48812,1
47,65,37484,1
48,65,12935,1
49,65,13732,1
50,65,29025,1
51,65,8483,1
52,65,23675,1
53,65,20422,1
54,65,42193,1
55,65,42740,1
56,65,39199,1
57,65,16842,1
58,65,31954,1
59,65,9399,1
60,65,5039,1
61,65,26670,1
62,65,3047,1
63,65,25168,1
64,65,54426,1
65,65,32008,1
66,65,193,1
67,65,22477,1
68,65,59021,1
69,65,8099,1
70,65,8259,1
71,65,60874,1
72,65,38054,1
73,65,12686,1
74,65,6335,1
75,65,60963,1
76,65,43450,1
77,65,58794,1
78,65,10389,1
79,65,48736,1
80,65,4081,1
81,65,10343,1
82,65,30681,1
83,65,60125,1
84,65,11140,1
85,65,58318,1
86,65,29139,1
87,65,44019,1
88,65,51286,1
89,65,5826,1
90,65,61733,1
91,65,64973,1
92,65,4697,1
93,65,40914,1
94,65,26056,1
95,65,19625,1
96,65,18241,1
97,65,2019,1
98,65,60751,1
99,65,15903,1
100,65,24789,1
101,65,36596,1
102,65,32798,1
103,65,30022,1
104,65,43625,1
105,65,56404,1
106,65,16122,1
107,65,14507,1
108,65,30982,1
109,65,24668,1
110,65,51750,1
111,65,57238,1
112,65,21368,1
113,65,62222,1
114,65,32793,1
115,65,55776,1
116,65,63348,1
117,65,20428,1
118,65,52559,1
119,65,57203,1
120,65,56665,1
121,65,7028,1
122,65,3871,1
123,65,65518,1
124,65,49171,1
125,65,18617,1
126,65,6019,1
127,65,45516,1
128,65,8043,1
129,65,31983,1
130,65,50713,1
131,65,23540,1
132,65,16304,1
133,65,33998,1
134,65,11896,1
135,65,58907,1
136,65,13090,1
137,65,25395,1
138,65,45875,1
139,65,13861,1
140,65,32399,1
141,65,10405,1
142,65,33486,1
143,65,6298,1
144,65,13216,1
145,65,6729,1
146,65,64602,1
147,65,6166,1
148,65,46297,1
149,65,58069,1
150,65,61387,1
151,65,52874,1
152,65,59466,1
153,65,40788,1
154,65,63832,1
155,65,46439,1
156,65,29427,1
157,65,13052,1
158,65,5333,1
159,65,29041,1
160,65,14694,1
161,65,18190,1
162,65,61324,1
163,65,779,1
164,65,52878,1
165,65,37382,1
166,65,39464,1
167,65,41939,1
168,65,28549,1
169,65,65153,1
170,65,27909,1
171,65,12529,1
172,65,63158,1
173,65,21844,1
174,65,7221,1
175,65,14327,1
176,65,37597,1
177,65,11360,1
178,65,1,1
179,65,59812,1
180,65,32015,1
181,65,54027,1
182,65,46667,1
183,65,30440,1
184,65,46963,1
185,65,40474,1
186,65,10323,1
187,65,44431,1
188,65,34251,1
189,65,6493,1
190,65,42688,1
191,65,12017,1
192,65,63727,1
193,65,48120,1
194,65,40730,1
195,65,40858,1
196,65,38294,1
197,65,37036,1
198,65,51689,1
199,65,13609,1
200,65,18765,1
201,65,45612,1
202,65,5770,1
203,65,58593,1
204,65,21335,1
205,65,8156,1
206,65,46541,1
207,65,34669,1
208,65,18777,1
209,65,14201,1
210,65,40988,1
211,65,11649,1
212,65,30240,1
213,65,26590,1
214,65,36356,1
215,65,35039,1
216,65,26751,1
217,65,33738,1
218,65,21482,1
219,65,24991,1
220,65,48761,1
221,65,54974,1
222,65,53278,1
223,65,42356,1
224,65,46117,1
225,65,24718,1
226,65,1393,1
227,65,62850,1
228,65,5771,1
229,65,53168,1
230,65,42733,1
231,65,2073,1
232,65,35586,1
233,65,32860,1
234,65,7626,1
235,65,20074,1
236,65,14551,1
237,65,34345,1
238,65,60682,1
239,65,34319,1
240,65,8595,1
241,65,23429,1
242,65,46012,1
243,65,6099,1
244,65,1049,1
245,65,3952,1
246,65,43006,1
247,65,12546,1
248,65,3590,1
249,65,15125,1
250,65,31066,1
251,65,49884,1
252,65,50726,1
253,65,27315,1
254,65,58010,1
255,65,11601,1
256,65,59105,1
257,65,51639,1
258,65,6227,1
259,65,49823,1
260,65,63211,1
261,65,56918,1
262,65,39287,1
263,65,23448,1
264,65,62502,1
265,65,18272,1
266,65,3547,1
267,65,23061,1
268,65,32398,1
269,65,33912,1
270,65,22331,1
271,65,30933,1
272,65,21904,1
273,65,12508,1
274,65,42842,1
275,65,9515,1
276,65,27043,1
277,65,60263,1
278,65,54336,1
279,65,58803,1
280,65,63844,1
281,65,52471,1
282,65,56046,1
283,65,21764,1
284,65,6869,1
285,65,13279,1
286,65,31314,1
287,65,17146,1
288,65,27400,1
289,65,21584,1
290,65,40029,1
291,65,19363,1
292,65,13944,1
293,65,64938,1
294,65,57041,1
295,65,14504,1
296,65,6339,1
297,65,32873,1
298,65,40166,1
299,65,37355,1
300,65,49176,1
301,65,62640,1
302,65,60517,1
303,65,16645,1
304,65,65214,1
305,65,32067,1
306,65,50086,1
307,65,61888,1
308,65,22255,1
309,65,24772,1
310,65,15440,1
311,65,23260,1
312,65,60854,1
313,65,14761,1
314,65,57914,1
315,65,60597,1
316,65,12391,1
317,65,33451,1
318,65,11476,1
319,65,35990,1
320,65,44708,1
321,65,131,1
322,65,40517,1
323,65,39647,1
324,65,17813,1
325,65,3151,1
326,65,22291,1
327,65,186,1
328,65,39544,1
329,65,16057,1
330,65,51284,1
331,65,24860,1
332,65,2704,1
333,65,28976,1
334,65,47981,1
335,65,5664,1
336,65,39733,1
337,65,12721,1
338,62,27271,0
339,63,47042,0
340,65,41551,1
341,65,49946,1
342,65,10718,1
343,65,48837,1
