case,size,det_mod_65521,full_augmented
0,65,28622,1
1,65,46984,1
2,65,21316,1
3,65,44680,1
4,65,1786,1
5,65,10909,1
6,65,46197,1
7,65,21584,1
8,65,40264,1
9,65,44190,1
10,65,22266,1
11,65,12095,1
12,65,11664,1
13,65,27969,1
14,65,14036,1
15,65,24239,1
16,65,30785,1
17,65,55188,1
18,65,60085,1
19,65,63143,1
20,65,54202,1
21,65,39187,1
22,65,35242,1
23,65,37130,1
24,65,56133,1
25,65,47330,1
26,65,11004,1
27,65,11004,1
28,65,21490,1
29,65,60080,1
30,65,55503,1
31,65,45245,1
32,65,35848,1
33,65,11437,1
34,65,45695,1
35,65,50500,1
36,65,27441,1
37,65,16135,1
38,65,47331,1
39,65,36046,1
40,65,37604,1
41,65,35392,1
42,65,35392,1
43,65,804,1
44,65,4486,1
45,65,286,1
46,65,11800,1
47,65,43265,1
48,65,29590,1
49,65,60565,1
50,65,31058,1
51,65,24955,1
52,65,48435,1
53,65,41200,1
54,65,61904,1
55,65,8277,1
56,65,40603,1
57,65,11158,1
58,65,30336,1
59,65,17100,1
60,65,18414,1
61,65,18560,1
62,65,20872,1
63,65,44760,1
64,65,35535,1
65,65,21020,1
66,65,18480,1
67,65,22964,1
68,65,26692,1
69,65,62160,1
70,65,17856,1
71,65,9296,1
72,65,43556,1
73,65,28315,1
74,65,1070,1
75,65,9534,1
76,65,15522,1
77,65,48105,1
78,65,40800,1
79,65,1533,1
80,65,38172,1
81,65,4228,1
82,65,31458,1
83,65,43262,1
84,65,14173,1
85,65,63735,1
86,65,14246,1
87,65,44785,1
88,65,2995,1
89,65,48958,1
90,65,51798,1
91,65,30993,1
92,65,22940,1
93,65,25336,1
94,65,29891,1
95,65,19411,1
96,65,30395,1
97,65,34935,1
98,65,40004,1
99,65,59597,1
100,65,39413,1
101,65,31843,1
102,65,4059,1
103,65,51753,1
104,65,9025,1
105,65,48808,1
106,65,37061,1
107,65,32445,1
108,65,26547,1
109,65,62059,1
110,65,46226,1
111,65,11319,1
112,65,13378,1
113,65,24718,1
114,65,38239,1
115,65,61432,1
116,65,55152,1
117,65,52141,1
118,65,63052,1
119,65,14687,1
120,65,12562,1
121,65,4267,1
122,65,2660,1
123,65,3803,1
124,65,41798,1
125,65,18173,1
126,65,45675,1
127,65,15264,1
128,65,25384,1
129,65,30459,1
130,65,1279,1
131,65,7918,1
132,65,13885,1
133,65,5782,1
134,65,9388,1
135,65,11853,1
136,65,46304,1
137,65,13917,1
138,65,29820,1
139,65,56975,1
140,65,61932,1
141,65,179,1
142,65,61932,1
143,65,61932,1
144,65,21891,1
145,65,47422,1
146,65,2754,1
147,65,13905,1
148,65,61953,1
149,65,28712,1
150,65,52692,1
151,65,50645,1
152,65,1476,1
153,65,9840,1
154,65,48023,1
155,65,24137,1
156,65,44190,1
157,65,13215,1
158,65,64978,1
159,65,59849,1
160,65,7870,1
161,65,55667,1
162,65,47795,1
163,65,22152,1
164,65,39248,1
165,65,13505,1
166,65,13505,1
167,65,13505,1
168,65,53669,1
169,65,27603,1
170,65,14583,1
171,65,57024,1
172,65,35500,1
173,65,35500,1
174,65,35500,1
175,65,47858,1
176,65,39535,1
177,65,39535,1
178,65,39535,1
179,65,41349,1
180,65,51991,1
181,65,52966,1
182,65,3713,1
183,65,39673,1
184,65,59672,1
185,65,59672,1
186,65,4714,1
187,65,40173,1
188,65,23412,1
189,65,6238,1
190,65,32366,1
191,65,42671,1
192,65,18844,1
193,65,36887,1
194,65,19333,1
195,65,57964,1
196,65,4202,1
197,65,35431,1
198,65,54760,1
199,65,27733,1
200,65,22154,1
201,65,32434,1
202,65,27175,1
203,65,3951,1
204,65,16652,1
205,65,22079,1
206,65,58558,1
207,65,30542,1
208,65,27829,1
209,65,50471,1
210,65,25107,1
211,65,57726,1
212,65,57726,1
213,65,11686,1
214,65,43201,1
215,65,42149,1
216,65,52179,1
217,65,59642,1
218,65,54884,1
