case,size,det_mod_65521,full_augmented
354,226,25913,1
355,226,53827,1
356,226,52833,1
357,226,27875,1
358,226,29836,1
359,226,16705,1
360,226,44150,1
361,226,50875,1
362,226,64280,1
363,226,24709,1
364,226,19600,1
365,226,37708,1
366,226,64649,1
367,226,11612,1
368,226,19126,1
369,226,64452,1
370,226,47732,1
371,226,58037,1
372,226,12018,1
373,226,61098,1
374,226,280,1
375,226,870,1
376,226,36821,1
377,226,47,1
378,226,8164,1
379,226,40451,1
380,226,31339,1
381,226,44839,1
382,226,49984,1
383,226,30679,1
384,226,54299,1
385,226,23321,1
386,226,19596,1
387,226,1173,1
388,226,44802,1
389,226,21010,1
390,226,11116,1
391,226,29990,1
392,226,11329,1
393,226,58868,1
394,226,60627,1
395,226,47313,1
396,226,36393,1
397,226,43964,1
398,226,5380,1
399,226,8827,1
400,226,6377,1
401,226,50565,1
402,226,43996,1
403,226,20204,1
404,226,44883,1
405,226,11299,1
406,226,20380,1
407,226,29496,1
408,226,9323,1
409,226,20861,1
410,226,16146,1
411,226,23666,1
412,226,3031,1
413,226,13476,1
414,226,39393,1
415,226,45695,1
416,226,24274,1
417,226,25234,1
418,226,27609,1
419,226,52045,1
420,226,56040,1
421,226,11853,1
422,226,25500,1
423,226,123,1
424,226,11455,1
425,226,11340,1
426,226,53846,1
427,226,767,1
428,226,2728,1
429,226,6520,1
430,226,35436,1
431,226,11186,1
432,226,45005,1
433,226,9756,1
434,226,55374,1
435,226,10673,1
436,226,23188,1
437,226,23427,1
438,226,36750,1
439,226,50044,1
440,226,36893,1
441,226,63596,1
442,226,63307,1
443,226,11909,1
444,226,10072,1
445,226,46089,1
446,226,62064,1
447,226,57949,1
448,226,31331,1
449,226,34085,1
450,226,7514,1
451,226,20460,1
452,226,53635,1
453,226,43859,1
454,226,65250,1
455,226,33540,1
456,226,55924,1
457,226,2259,1
458,226,65202,1
459,226,48405,1
460,226,59545,1
461,226,27384,1
462,226,10925,1
463,226,53525,1
464,226,45961,1
465,226,20602,1
466,226,2911,1
467,226,23088,1
468,226,65082,1
469,226,28228,1
470,226,21210,1
471,226,49321,1
472,226,18686,1
473,226,5424,1
474,226,17240,1
475,226,16591,1
476,226,12391,1
477,226,52047,1
478,226,62415,1
479,226,29281,1
480,226,59018,1
481,226,3507,1
482,226,59722,1
483,226,27400,1
484,226,63527,1
485,226,19226,1
486,226,60847,1
487,226,1927,1
488,226,17566,1
489,226,22245,1
490,226,14004,1
491,226,59393,1
492,226,63185,1
493,226,31544,1
494,226,2323,1
495,226,64905,1
496,226,17198,1
497,226,6846,1
498,226,1350,1
499,226,55380,1
500,226,22087,1
501,226,58994,1
502,226,6547,1
503,226,64599,1
504,226,17598,1
505,226,41782,1
506,226,33226,1
507,226,56804,1
508,226,18803,1
509,226,20857,1
510,226,31742,1
511,226,48879,1
512,226,63290,1
513,226,38128,1
514,226,37923,1
515,226,9701,1
516,226,44841,1
517,226,1493,1
518,226,43856,1
519,226,36745,1
520,226,50665,1
521,226,38540,1
522,226,13095,1
523,226,55537,1
524,226,20080,1
525,226,63005,1
526,226,47801,1
527,226,64893,1
528,226,16582,1
529,226,49270,1
530,226,14618,1
531,226,64343,1
532,226,63954,1
533,226,16960,1
534,226,53650,1
535,226,28980,1
536,226,60171,1
537,226,27548,1
538,226,4751,1
539,226,10331,1
540,226,53526,1
541,226,50569,1
542,226,13732,1
543,226,35975,1
544,226,62808,1
545,226,50721,1
546,226,45508,1
547,226,9022,1
548,226,7402,1
549,226,26690,1
550,226,19270,1
551,226,53089,1
552,226,4408,1
553,226,44386,1
554,226,21184,1
555,226,42216,1
556,226,25166,1
557,226,26713,1
558,226,57883,1
559,226,1361,1
560,226,17407,1
561,226,19023,1
562,226,11269,1
563,226,50370,1
564,226,4516,1
565,226,29316,1
566,226,23833,1
567,226,45729,1
568,226,55883,1
569,226,38594,1
570,226,711,1
571,226,60185,1
572,226,57280,1
573,226,27179,1
574,226,35989,1
575,226,2736,1
576,226,39825,1
577,226,14469,1
578,226,33377,1
579,226,9800,1
580,226,42620,1
581,226,42223,1
582,226,65481,1
583,226,4887,1
584,226,13451,1
585,226,30628,1
586,226,13777,1
587,226,35347,1
588,226,64018,1
589,226,39797,1
590,226,19825,1
591,226,56519,1
592,226,30142,1
593,226,48673,1
594,226,18394,1
595,226,40927,1
596,226,25249,1
597,226,49391,1
598,226,41982,1
599,226,53371,1
600,226,24836,1
601,226,62977,1
602,226,64944,1
603,226,49828,1
604,226,18643,1
605,226,27991,1
606,226,39732,1
607,226,25658,1
608,226,51331,1
609,226,57613,1
610,226,9602,1
611,226,58931,1
612,226,3226,1
613,226,50384,1
614,226,39002,1
615,226,18568,1
616,226,23502,1
617,226,48496,1
618,226,2921,1
619,226,46433,1
620,226,32725,1
621,226,37162,1
622,226,45542,1
623,226,10473,1
624,226,33832,1
625,226,57038,1
626,226,52726,1
627,226,17338,1
628,226,23355,1
629,226,5311,1
630,226,31600,1
631,226,65321,1
632,226,41257,1
633,226,7804,1
634,226,24320,1
635,226,27189,1
636,226,19802,1
637,226,11372,1
638,226,49122,1
639,226,35934,1
640,226,165,1
641,226,42366,1
642,226,36152,1
643,226,63824,1
644,226,19561,1
645,226,9557,1
646,226,26212,1
647,226,8052,1
648,226,41295,1
649,226,46306,1
650,226,30711,1
651,226,37996,1
652,226,64659,1
653,226,28840,1
654,226,54603,1
655,226,56156,1
656,226,48305,1
657,226,30732,1
658,226,53483,1
659,226,57217,1
660,226,29009,1
661,226,37204,1
662,226,10849,1
663,226,42191,1
664,226,35466,1
665,226,54418,1
666,226,60499,1
667,226,38990,1
668,226,44096,1
669,226,54346,1
670,226,2260,1
671,226,5305,1
672,226,51090,1
673,226,10836,1
674,226,51611,1
675,226,20343,1
676,226,46002,1
677,226,9398,1
678,226,62626,1
679,226,50605,1
680,226,27411,1
681,226,43072,1
682,226,34079,1
683,226,38904,1
684,226,10183,1
685,226,65135,1
686,226,49700,1
687,226,56350,1
688,226,41517,1
689,226,28948,1
690,226,24539,1
691,226,57703,1
692,226,29375,1
693,226,61301,1
694,226,24806,1
695,226,42851,1
696,226,15518,1
697,226,20698,1
698,226,64258,1
699,226,55545,1
700,226,10702,1
701,226,21290,1
702,226,54819,1
703,226,51277,1
704,226,24275,1
705,226,40784,1
706,226,35373,1
707,226,1953,1
708,226,63044,1
709,226,61694,1
710,226,24283,1
711,226,41350,1
712,226,54591,1
713,226,29975,1
714,226,53704,1
715,226,10663,1
716,226,29009,1
717,226,41112,1
718,226,21841,1
719,226,22867,1
720,226,6356,1
721,226,57733,1
722,226,51688,1
723,226,23714,1
724,226,64449,1
725,226,17850,1
726,226,5619,1
727,226,60249,1
728,226,21583,1
729,226,47471,1
730,226,57162,1
731,226,36505,1
732,226,1122,1
733,226,55269,1
734,226,45020,1
735,226,3920,1
736,226,23639,1
737,226,22597,1
738,226,49323,1
739,226,1757,1
740,226,22788,1
741,226,31371,1
742,226,15623,1
743,226,34078,1
744,226,6932,1
745,226,20286,1
746,226,7504,1
747,226,10475,1
748,226,27926,1
749,226,46938,1
750,226,32380,1
751,226,55422,1
752,226,49912,1
753,226,56154,1
754,226,36832,1
755,226,63545,1
756,226,12064,1
757,226,14870,1
758,226,61671,1
759,226,21684,1
