8,4,96
10,5,200
12,6,360
14,7,588
16,8,896
18,9,1296
20,10,1800
22,11,2420
24,12,3168
26,13,4056
28,14,5096
30,15,6300
32,16,7680
34,17,9248
36,18,11016
38,19,12996
40,20,15200
42,21,17640
44,22,20328
46,23,23276
48,24,26496
50,25,30000
52,26,33800
54,27,37908
56,28,42336
58,29,47096
60,30,52200
62,31,57660
64,32,63488
66,33,69696
68,34,76296
70,35,83300
72,36,90720
74,37,98568
76,38,106856
78,39,115596
80,40,124800
82,41,134480
84,42,144648
86,43,155316
88,44,166496
90,45,178200
92,46,190440
94,47,203228
96,48,216576
98,49,230496
100,50,245000
102,51,260100
104,52,275808
106,53,292136
108,54,309096
110,55,326700
112,56,344960
114,57,363888
116,58,383496
118,59,403796
120,60,424800
122,61,446520
124,62,468968
126,63,492156
128,64,516096
130,65,540800
132,66,566280
134,67,592548
136,68,619616
138,69,647496
140,70,676200
142,71,705740
144,72,736128
146,73,767376
148,74,799496
150,75,832500
152,76,866400
154,77,901208
156,78,936936
158,79,973596
160,80,1011200
162,81,1049760
164,82,1089288
166,83,1129796
168,84,1171296
170,85,1213800
172,86,1257320
174,87,1301868
176,88,1347456
178,89,1394096
180,90,1441800
182,91,1490580
184,92,1540448
186,93,1591416
188,94,1643496
190,95,1696700
192,96,1751040
194,97,1806528
196,98,1863176
198,99,1920996
200,100,1980000
202,101,2040200
204,102,2101608
206,103,2164236
208,104,2228096
210,105,2293200
212,106,2359560
214,107,2427188
216,108,2496096
218,109,2566296
220,110,2637800
222,111,2710620
224,112,2784768
226,113,2860256
228,114,2937096
230,115,3015300
232,116,3094880
234,117,3175848
236,118,3258216
238,119,3341996
240,120,3427200
242,121,3513840
244,122,3601928
246,123,3691476
248,124,3782496
250,125,3875000
252,126,3969000
254,127,4064508
256,128,4161536
258,129,4260096
260,130,4360200
262,131,4461860
264,132,4565088
266,133,4669896
268,134,4776296
270,135,4884300
272,136,4993920
274,137,5105168
276,138,5218056
278,139,5332596
280,140,5448800
282,141,5566680
284,142,5686248
286,143,5807516
288,144,5930496
290,145,6055200
292,146,6181640
294,147,6309828
296,148,6439776
298,149,6571496
300,150,6705000
302,151,6840300
304,152,6977408
306,153,7116336
308,154,7257096
310,155,7399700
312,156,7544160
314,157,7690488
316,158,7838696
318,159,7988796
320,160,8140800
322,161,8294720
324,162,8450568
326,163,8608356
328,164,8768096
330,165,8929800
332,166,9093480
334,167,9259148
336,168,9426816
338,169,9596496
340,170,9768200
342,171,9941940
344,172,10117728
346,173,10295576
348,174,10475496
350,175,10657500
352,176,10841600
354,177,11027808
356,178,11216136
358,179,11406596
360,180,11599200
362,181,11793960
364,182,11990888
366,183,12189996
368,184,12391296
370,185,12594800
372,186,12800520
374,187,13008468
376,188,13218656
378,189,13431096
380,190,13645800
382,191,13862780
384,192,14082048
386,193,14303616
388,194,14527496
390,195,14753700
392,196,14982240
394,197,15213128
396,198,15446376
398,199,15681996
400,200,15920000
402,201,16160400
404,202,16403208
406,203,16648436
408,204,16896096
410,205,17146200
412,206,17398760
414,207,17653788
416,208,17911296
418,209,18171296
420,210,18433800
422,211,18698820
424,212,18966368
426,213,19236456
428,214,19509096
430,215,19784300
432,216,20062080
434,217,20342448
436,218,20625416
438,219,20910996
440,220,21199200
442,221,21490040
444,222,21783528
446,223,22079676
448,224,22378496
450,225,22680000
452,226,22984200
454,227,23291108
456,228,23600736
458,229,23913096
460,230,24228200
462,231,24546060
464,232,24866688
466,233,25190096
468,234,25516296
470,235,25845300
472,236,26177120
474,237,26511768
476,238,26849256
478,239,27189596
480,240,27532800
482,241,27878880
484,242,28227848
486,243,28579716
488,244,28934496
490,245,29292200
492,246,29652840
494,247,30016428
496,248,30382976
498,249,30752496
500,250,31125000
502,251,31500500
504,252,31879008
506,253,32260536
508,254,32645096
510,255,33032700
512,256,33423360
514,257,33817088
516,258,34213896
518,259,34613796
520,260,35016800
522,261,35422920
524,262,35832168
526,263,36244556
528,264,36660096
530,265,37078800
532,266,37500680
534,267,37925748
536,268,38354016
538,269,38785496
540,270,39220200
542,271,39658140
544,272,40099328
546,273,40543776
548,274,40991496
550,275,41442500
552,276,41896800
554,277,42354408
556,278,42815336
558,279,43279596
560,280,43747200
562,281,44218160
564,282,44692488
566,283,45170196
568,284,45651296
570,285,46135800
572,286,46623720
574,287,47115068
576,288,47609856
578,289,48108096
580,290,48609800
582,291,49114980
584,292,49623648
586,293,50135816
588,294,50651496
590,295,51170700
592,296,51693440
594,297,52219728
596,298,52749576
598,299,53282996
600,300,53820000
602,301,54360600
604,302,54904808
606,303,55452636
608,304,56004096
610,305,56559200
612,306,57117960
614,307,57680388
616,308,58246496
618,309,58816296
620,310,59389800
622,311,59967020
624,312,60547968
626,313,61132656
628,314,61721096
630,315,62313300
632,316,62909280
634,317,63509048
636,318,64112616
638,319,64719996
640,320,65331200
642,321,65946240
644,322,66565128
646,323,67187876
648,324,67814496
650,325,68445000
652,326,69079400
654,327,69717708
656,328,70359936
658,329,71006096
660,330,71656200
662,331,72310260
664,332,72968288
666,333,73630296
668,334,74296296
670,335,74966300
672,336,75640320
674,337,76318368
676,338,77000456
678,339,77686596
680,340,78376800
682,341,79071080
684,342,79769448
686,343,80471916
688,344,81178496
690,345,81889200
692,346,82604040
694,347,83323028
696,348,84046176
698,349,84773496
700,350,85505000
702,351,86240700
704,352,86980608
706,353,87724736
708,354,88473096
710,355,89225700
712,356,89982560
714,357,90743688
716,358,91509096
718,359,92278796
720,360,93052800
722,361,93831120
724,362,94613768
726,363,95400756
728,364,96192096
730,365,96987800
732,366,97787880
734,367,98592348
736,368,99401216
738,369,100214496
740,370,101032200
742,371,101854340
744,372,102680928
746,373,103511976
748,374,104347496
750,375,105187500
752,376,106032000
754,377,106881008
756,378,107734536
758,379,108592596
760,380,109455200
762,381,110322360
764,382,111194088
766,383,112070396
768,384,112951296
770,385,113836800
772,386,114726920
774,387,115621668
776,388,116521056
778,389,117425096
780,390,118333800
782,391,119247180
784,392,120165248
786,393,121088016
788,394,122015496
790,395,122947700
792,396,123884640
794,397,124826328
796,398,125772776
798,399,126723996
800,400,127680000
802,401,128640800
804,402,129606408
806,403,130576836
808,404,131552096
810,405,132532200
812,406,133517160
814,407,134506988
816,408,135501696
818,409,136501296
820,410,137505800
822,411,138515220
824,412,139529568
826,413,140548856
828,414,141573096
830,415,142602300
832,416,143636480
834,417,144675648
836,418,145719816
838,419,146768996
840,420,147823200
842,421,148882440
844,422,149946728
846,423,151016076
848,424,152090496
850,425,153170000
852,426,154254600
854,427,155344308
856,428,156439136
858,429,157539096
860,430,158644200
862,431,159754460
864,432,160869888
866,433,161990496
868,434,163116296
870,435,164247300
872,436,165383520
874,437,166524968
876,438,167671656
878,439,168823596
880,440,169980800
882,441,171143280
884,442,172311048
886,443,173484116
888,444,174662496
890,445,175846200
892,446,177035240
894,447,178229628
896,448,179429376
898,449,180634496
900,450,181845000
902,451,183060900
904,452,184282208
906,453,185508936
908,454,186741096
910,455,187978700
912,456,189221760
914,457,190470288
916,458,191724296
918,459,192983796
920,460,194248800
922,461,195519320
924,462,196795368
926,463,198076956
928,464,199364096
930,465,200656800
932,466,201955080
934,467,203258948
936,468,204568416
938,469,205883496
940,470,207204200
942,471,208530540
944,472,209862528
946,473,211200176
948,474,212543496
950,475,213892500
952,476,215247200
954,477,216607608
956,478,217973736
958,479,219345596
960,480,220723200
962,481,222106560
964,482,223495688
966,483,224890596
968,484,226291296
970,485,227697800
972,486,229110120
974,487,230528268
976,488,231952256
978,489,233382096
980,490,234817800
982,491,236259380
984,492,237706848
986,493,239160216
988,494,240619496
990,495,242084700
992,496,243555840
994,497,245032928
996,498,246515976
998,499,248004996
1000,500,249500000
1002,501,251001000
1004,502,252508008
1006,503,254021036
1008,504,255540096
1010,505,257065200
1012,506,258596360
1014,507,260133588
1016,508,261676896
1018,509,263226296
1020,510,264781800
1022,511,266343420
1024,512,267911168
1026,513,269485056
1028,514,271065096
1030,515,272651300
1032,516,274243680
1034,517,275842248
1036,518,277447016
1038,519,279057996
1040,520,280675200
1042,521,282298640
1044,522,283928328
1046,523,285564276
1048,524,287206496
1050,525,288855000
1052,526,290509800
1054,527,292170908
1056,528,293838336
1058,529,295512096
1060,530,297192200
1062,531,298878660
1064,532,300571488
1066,533,302270696
1068,534,303976296
1070,535,305688300
1072,536,307406720
1074,537,309131568
1076,538,310862856
1078,539,312600596
1080,540,314344800
1082,541,316095480
1084,542,317852648
1086,543,319616316
1088,544,321386496
1090,545,323163200
1092,546,324946440
1094,547,326736228
1096,548,328532576
1098,549,330335496
1100,550,332145000
1102,551,333961100
1104,552,335783808
1106,553,337613136
1108,554,339449096
1110,555,341291700
1112,556,343140960
1114,557,344996888
1116,558,346859496
1118,559,348728796
1120,560,350604800
1122,561,352487520
1124,562,354376968
1126,563,356273156
1128,564,358176096
1130,565,360085800
1132,566,362002280
1134,567,363925548
1136,568,365855616
1138,569,367792496
1140,570,369736200
1142,571,371686740
1144,572,373644128
1146,573,375608376
1148,574,377579496
1150,575,379557500
1152,576,381542400
1154,577,383534208
1156,578,385532936
1158,579,387538596
1160,580,389551200
1162,581,391570760
1164,582,393597288
1166,583,395630796
1168,584,397671296
1170,585,399718800
1172,586,401773320
1174,587,403834868
1176,588,405903456
1178,589,407979096
1180,590,410061800
1182,591,412151580
1184,592,414248448
1186,593,416352416
1188,594,418463496
1190,595,420581700
1192,596,422707040
1194,597,424839528
1196,598,426979176
1198,599,429125996
1200,600,431280000
1202,601,433441200
1204,602,435609608
1206,603,437785236
1208,604,439968096
1210,605,442158200
1212,606,444355560
1214,607,446560188
1216,608,448772096
1218,609,450991296
1220,610,453217800
1222,611,455451620
1224,612,457692768
1226,613,459941256
1228,614,462197096
1230,615,464460300
1232,616,466730880
1234,617,469008848
1236,618,471294216
1238,619,473586996
1240,620,475887200
1242,621,478194840
1244,622,480509928
1246,623,482832476
1248,624,485162496
1250,625,487500000
1252,626,489845000
1254,627,492197508
1256,628,494557536
1258,629,496925096
1260,630,499300200
1262,631,501682860
1264,632,504073088
1266,633,506470896
1268,634,508876296
1270,635,511289300
