GATES {'sum_gate': 1177156, 'z14_gate': 1132314, 'e2_gate': 15620} ROOT_LISTS {3: 10, 4: 55, 5: 55, 6: 220, 7: 220, 8: 715} PARAMETERS 49
JETS 100 {'inconsistent': 100} seconds 3.12
JETS 200 {'inconsistent': 200} seconds 4.73
JETS 300 {'inconsistent': 300} seconds 6.31
JETS 400 {'inconsistent': 400} seconds 8.06
JETS 500 {'inconsistent': 500} seconds 9.76
JETS 600 {'inconsistent': 600} seconds 11.54
JETS 700 {'inconsistent': 700} seconds 13.34
JETS 800 {'inconsistent': 800} seconds 15.21
JETS 900 {'inconsistent': 900} seconds 17.04
JETS 1000 {'inconsistent': 1000} seconds 19.06
JETS 1100 {'inconsistent': 1100} seconds 21.28
JETS 8400 {'inconsistent': 8305, 'rank49_factor': 95} seconds 168.55
JETS 8500 {'inconsistent': 8402, 'rank49_factor': 98} seconds 170.51
JETS 8600 {'inconsistent': 8500, 'rank49_factor': 100} seconds 172.38
JETS 8700 {'inconsistent': 8600, 'rank49_factor': 100} seconds 174.1
JETS 8800 {'inconsistent': 8697, 'rank49_factor': 103} seconds 176.33
JETS 8900 {'inconsistent': 8794, 'rank49_factor': 106} seconds 178.46
JETS 9000 {'inconsistent': 8894, 'rank49_factor': 106} seconds 180.34
JETS 9100 {'inconsistent': 8991, 'rank49_factor': 109} seconds 182.64
JETS 9200 {'inconsistent': 9090, 'rank49_factor': 110} seconds 184.67
JETS 9300 {'inconsistent': 9190, 'rank49_factor': 110} seconds 186.29
JETS 9400 {'inconsistent': 9290, 'rank49_factor': 110} seconds 187.76
JETS 9500 {'inconsistent': 9390, 'rank49_factor': 110} seconds 189.23
JETS 9600 {'inconsistent': 9490, 'rank49_factor': 110} seconds 190.78
JETS 9700 {'inconsistent': 9588, 'rank49_factor': 112} seconds 192.6
JETS 9800 {'inconsistent': 9685, 'rank49_factor': 115} seconds 194.56
JETS 9900 {'inconsistent': 9784, 'rank49_factor': 116} seconds 196.42
JETS 10000 {'inconsistent': 9882, 'rank49_factor': 118} seconds 198.48
JETS 10100 {'inconsistent': 9980, 'rank49_factor': 120} seconds 200.38
JETS 10200 {'inconsistent': 10078, 'rank49_factor': 122} seconds 202.39
JETS 10300 {'inconsistent': 10177, 'rank49_factor': 123} seconds 204.8
JETS 10400 {'inconsistent': 10275, 'rank49_factor': 125} seconds 206.91
