B699_CUBIC_BLOCKS_V1	7	13	216	13	14000001	34	4986900	143	126
34	0	16	-13
35	0	17	-3
36	0	17	-2
37	1	18	-7
39	1	19	-13
41	1	20	6
43	0	21	4
44	1	21	-13
46	0	22	-3
47	2	23	-5
50	2	24	-3
53	2	26	1
56	2	27	-13
59	3	29	10
63	3	31	-12
67	4	33	-3
72	4	35	-10
77	5	38	-2
83	6	41	-2
90	6	44	-7
97	7	48	2
105	8	52	2
114	9	56	-11
124	11	62	-4
136	11	68	-1
148	13	74	13
162	14	81	7
177	16	88	2
194	18	97	-4
213	20	107	11
234	22	117	10
257	25	129	3
283	27	142	-3
311	31	156	-9
343	34	172	3
378	38	190	1
417	43	210	4
461	48	232	-13
510	53	257	4
564	59	284	6
624	65	314	-11
690	73	348	-11
764	81	385	-13
846	91	427	10
938	100	473	-12
1039	112	524	-2
1152	124	581	-7
1277	138	645	11
1416	154	715	-2
1571	171	793	9
1743	190	880	-8
1934	212	977	-2
2147	235	1085	-5
2383	261	1204	9
2645	290	1337	-2
2936	322	1484	1
3259	358	1647	2
3618	399	1829	9
4018	442	2031	1
4461	492	2255	-10
4954	546	2504	4
5501	608	2781	-3
6110	675	3089	-2
6786	748	3431	3
7535	834	3810	9
8370	926	4232	-2
9297	1029	4701	4
10327	1144	5222	12
11472	1271	5801	-9
12744	1412	6444	7
14157	1569	7159	8
15727	1744	7953	-7
17472	1937	8836	-4
19410	2153	9816	-2
21564	2391	10905	2
23956	2658	12115	-11
26615	2954	13460	2
29570	3281	14954	-11
32852	3646	16614	-3
36499	4052	18459	11
40552	4502	20509	-4
45055	5002	22786	-5
50058	5559	25317	7
55618	6176	28129	2
61795	6862	31253	1
68658	7625	34724	13
76284	8473	38581	-11
84758	9414	42867	10
94173	10461	47629	8
104635	11623	52920	-1
116259	12914	58799	-7
129174	14349	65331	-10
143524	15944	72589	8
159469	17715	80653	-13
177185	19684	89614	9
196870	21871	99570	-1
218742	24301	110632	11
243044	27001	122923	2
270046	30002	136580	-7
300049	33335	151754	-3
333385	37039	168615	10
370425	41155	187349	-5
411581	45728	208164	11
457310	50808	231292	-9
508119	56454	256990	11
564574	62726	285543	7
627301	69697	317269	-7
696999	77441	352520	1
774441	86046	391688	-3
860488	95606	435207	10
956095	106229	483563	-9
1062325	118033	537291	-13
1180359	131147	596989	4
1311507	145717	663319	-5
1457225	161910	737019	1
1619136	179900	818909	5
1799037	199889	909897	2
1998927	222099	1010995	-2
2221027	246777	1123327	-8
2467805	274197	1248140	1
2742003	304663	1386821	-11
3046667	338515	1540910	10
3385183	376128	1712121	-7
3761312	417919	1902356	-1
4179232	464355	2113727	-11
4643588	343312	2348584	11
