B699_CUBIC_BLOCKS_V1	3	5	216	13	14000001	53	8833017	128	132
53	1	23	-4
55	0	23	10
56	0	24	-9
57	0	24	-1
58	1	25	11
60	1	26	7
62	1	27	-5
64	1	28	12
66	1	28	-6
68	0	29	11
69	2	30	7
72	2	31	1
75	3	33	-8
79	3	34	-13
83	4	36	6
88	4	38	-5
93	5	41	-5
99	5	43	-2
105	5	46	-11
111	7	49	-1
119	6	53	-9
126	8	56	-1
135	9	60	-9
145	10	64	3
156	11	69	11
168	13	75	1
182	14	81	1
197	14	88	-13
212	18	95	5
231	18	104	-7
250	22	112	7
273	23	123	11
297	28	134	1
326	31	147	-8
358	34	161	-10
393	38	177	11
432	43	195	7
476	47	215	13
524	53	237	4
578	58	261	8
637	65	288	-1
703	72	318	-12
776	80	352	9
857	89	388	-13
947	99	429	8
1047	111	475	10
1159	124	526	3
1284	137	583	3
1422	152	645	-13
1575	169	715	-4
1745	188	792	11
1934	208	878	10
2143	233	974	3
2377	258	1080	8
2636	287	1198	-11
2924	318	1329	-7
3243	353	1474	3
3597	394	1635	-7
3992	438	1815	-1
4431	487	2015	6
4919	541	2237	-1
5461	601	2484	-9
6063	665	2757	-7
6729	743	3061	11
7473	825	3399	1
8299	916	3775	-8
9216	1017	4192	9
10234	1132	4656	-2
11367	1256	5171	11
12624	1396	5743	1
14021	1553	6379	5
15575	1725	7086	-1
17301	1916	7872	-10
19218	2130	8744	13
21349	2367	9714	1
23717	2629	10791	-6
26347	2922	11988	5
29270	3246	13318	-2
32517	3607	14796	4
36125	4008	16438	12
40134	4453	18262	10
44588	4947	20289	7
49536	5499	22541	8
55036	6110	25044	-1
61147	6788	27825	-8
67936	7543	30914	12
75480	8381	34347	1
83862	9312	38162	-5
93175	10348	42400	13
103524	11496	47109	-5
115021	12774	52341	11
127796	14194	58155	-13
141991	15771	64614	-10
157763	17524	71792	-9
175288	19470	79767	11
194759	21635	88628	-7
216395	24038	98473	-7
240434	26708	109413	3
267143	29676	121567	-1
296820	32975	135073	-5
329796	36637	150079	-9
366434	40710	166752	-1
407145	45233	185278	11
452379	50259	205863	-7
502639	55844	228735	1
558484	62048	254148	7
620533	68943	282385	3
689477	76602	313759	1
766080	85114	348619	10
851195	94571	387352	-4
945767	105079	430389	-5
1050847	116753	478208	11
1167601	129729	531340	-2
1297331	144142	590376	-7
1441474	160158	655971	11
1601633	177953	728855	-13
1779587	197725	809836	-5
1977313	219696	899816	7
2197010	244106	999793	9
2441117	271229	1110879	-7
2712347	301365	1234308	-1
3013713	334851	1371451	-4
3348565	372058	1523833	1
3720624	413396	1693146	-13
4134021	459329	1881271	-3
4593351	510366	2090298	-4
5103718	567074	2322551	4
5670793	630083	2580611	2
6300877	700092	2867344	-8
7000970	777879	3185935	1
7778850	864311	3539926	1
8643162	189855	3933249	-1
