GATES {'sum_gate': 108500, 'z14_gate': 96985, 'e2_gate': 1814}
200 {'inconsistent_rank26': 200}
400 {'inconsistent_rank26': 392, 'rank25_factor': 8}
600 {'inconsistent_rank26': 581, 'rank25_factor': 19}
800 {'inconsistent_rank26': 767, 'rank25_factor': 33}
1000 {'inconsistent_rank26': 952, 'rank25_factor': 48}
1200 {'inconsistent_rank26': 1141, 'rank25_factor': 59}
1400 {'inconsistent_rank26': 1330, 'rank25_factor': 70}
1600 {'inconsistent_rank26': 1524, 'rank25_factor': 76}
1800 {'inconsistent_rank26': 1720, 'rank25_factor': 80}
DONE {'inconsistent_rank26': 1734, 'rank25_factor': 80} UNRESOLVED [] seconds 18.64
