250 {'inconsistent_rank10': 211, 'rank9': 34, 'rank8': 5} 0.73
500 {'inconsistent_rank10': 412, 'rank9': 73, 'rank8': 15} 1.46
750 {'inconsistent_rank10': 628, 'rank9': 105, 'rank8': 17} 2.14
1000 {'inconsistent_rank10': 829, 'rank9': 148, 'rank8': 23} 2.8
1250 {'inconsistent_rank10': 1032, 'rank9': 195, 'rank8': 23} 3.56
1500 {'inconsistent_rank10': 1240, 'rank9': 237, 'rank8': 23} 4.27
1750 {'inconsistent_rank10': 1458, 'rank9': 269, 'rank8': 23} 4.94
2000 {'inconsistent_rank10': 1668, 'rank9': 309, 'rank8': 23} 5.63
DONE {'inconsistent_rank10': 1725, 'rank9': 317, 'rank8': 23} 5.84
