stage	exit_code	status
01-i6-precision-boundaries	0	PASS
02-joint-recovery-terminal-transfer	0	PASS
03-q2-discriminant-shift-obstruction	0	PASS
04-ternary-support-recovery	0	PASS
05-four-digit-both-sides	0	PASS
06-signed-denominator-periodic-blocks	0	PASS
07-one-candidate-lattice	0	PASS
